src_id,dst_id,weight,shared_nonlisted_target_cnt,shared_nonlisted_target_amt_sum
830,153,1.0,1,0.0
830,166,1.0,1,0.0
830,256,1.0,1,0.0
830,288,8.290751707896936,1,3985.83
830,300,1.0,1,0.0
830,353,1.0,1,0.0
830,361,1.0,1,0.0
830,377,1.0,1,0.0
830,421,1.0,1,0.0
830,482,1.0,1,0.0
830,579,1.0,1,0.0
830,639,1.0,1,0.0
830,640,1.0,1,0.0
830,904,1.0,1,0.0
830,908,1.0,1,0.0
830,932,1.0,1,0.0
830,976,1.0,1,0.0
830,1004,1.0,1,0.0
830,1009,1.0,1,0.0
830,1021,1.0,1,0.0
830,1040,1.0,1,0.0
830,1044,1.0,1,0.0
830,1082,1.0,1,0.0
830,1108,1.0,1,0.0
830,1120,1.0,1,0.0
830,1168,1.0,1,0.0
830,2182,1.0,1,0.0
830,2297,1.0,1,0.0
830,2333,10.261187466831526,2,10520.619999999999
830,2425,1.0,1,0.0
830,2584,1.0,1,0.0
830,2624,1.0,1,0.0
830,2625,1.0,1,0.0
830,2732,1.0,1,0.0
830,2770,1.0,1,0.0
830,2861,1.0,1,0.0
832,1207,1.0,1,0.0
836,803,10.463131911491967,1,35000.0
836,946,1.0,1,0.0
869,827,9.210440366976517,1,10000.0
904,166,1.0,1,0.0
904,353,1.0,1,0.0
904,377,1.0,1,0.0
904,421,1.0,1,0.0
904,482,1.0,1,0.0
904,579,1.0,1,0.0
904,639,1.0,1,0.0
904,640,1.0,1,0.0
904,830,1.0,1,0.0
904,932,1.0,1,0.0
904,1009,1.0,1,0.0
904,1044,1.0,1,0.0
904,1120,1.0,1,0.0
904,1168,1.0,1,0.0
904,2182,1.0,1,0.0
904,2297,1.0,1,0.0
904,2425,1.0,1,0.0
904,2732,1.0,1,0.0
904,2861,1.0,1,0.0
908,121,1.0,1,0.0
908,153,1.0,1,0.0
908,256,1.0,1,0.0
908,300,1.0,1,0.0
908,361,1.0,1,0.0
908,830,1.0,1,0.0
908,976,1.0,1,0.0
908,1004,1.0,1,0.0
908,1021,1.0,1,0.0
908,1040,1.0,1,0.0
908,1082,1.0,1,0.0
908,1108,1.0,1,0.0
908,2333,1.0,1,0.0
908,2584,1.0,1,0.0
