src_id,dst_id,weight,shared_controller_cnt
1038,187,1.0,1
1038,191,1.0,1
1038,820,1.0,1
1038,852,1.0,1
1038,861,1.0,1
1038,887,1.0,1
1038,959,2.0,2
1038,1192,1.0,1
1038,1201,1.0,1
1038,1272,1.0,1
1038,2192,1.0,1
1038,2208,1.0,1
1038,2212,1.0,1
1038,2228,1.0,1
1038,2241,1.0,1
1038,2289,1.0,1
1038,2297,1.0,1
1038,2308,1.0,1
1038,2313,1.0,1
1038,2315,1.0,1
1038,2348,1.0,1
1038,2353,1.0,1
1038,2467,1.0,1
1038,2469,1.0,1
1043,832,1.0,1
1060,484,1.0,1
1065,2237,1.0,1
1077,2282,1.0,1
1077,2286,1.0,1
1114,2714,1.0,1
1153,1035,1.0,1
1178,125,1.0,1
1192,96,1.0,1
1192,136,1.0,1
1192,169,1.0,1
1192,183,1.0,1
1192,187,1.0,1
1192,191,1.0,1
1192,820,1.0,1
1192,852,1.0,1
1192,861,1.0,1
1192,887,1.0,1
1192,959,1.0,1
1192,1038,1.0,1
1192,1201,2.0,2
1192,1272,1.0,1
1192,2192,1.0,1
1192,2208,1.0,1
1192,2212,1.0,1
1192,2228,1.0,1
1192,2241,1.0,1
1192,2289,1.0,1
1192,2297,1.0,1
1192,2308,1.0,1
1192,2313,1.0,1
1192,2315,1.0,1
1192,2348,1.0,1
1192,2353,1.0,1
1192,2467,1.0,1
1192,2469,1.0,1
1192,2789,1.0,1
1201,96,1.0,1
1201,136,1.0,1
1201,169,1.0,1
1201,183,1.0,1
1201,187,1.0,1
1201,191,1.0,1
1201,820,1.0,1
1201,852,1.0,1
1201,861,1.0,1
1201,887,1.0,1
1201,959,1.0,1
1201,1038,1.0,1
1201,1192,2.0,2
1201,1272,1.0,1
1201,2192,1.0,1
1201,2208,1.0,1
1201,2212,1.0,1
1201,2228,1.0,1
1201,2241,1.0,1
1201,2289,1.0,1
1201,2297,1.0,1
1201,2308,1.0,1
1201,2313,1.0,1
1201,2315,1.0,1
1201,2348,1.0,1
1201,2353,1.0,1
1201,2467,1.0,1
1201,2469,1.0,1
1201,2789,1.0,1
1211,597,1.0,1
1246,786,1.0,1
1257,2488,1.0,1
1262,1272,1.0,1
1268,108,1.0,1
1272,96,1.0,1
1272,136,1.0,1
1272,169,1.0,1
1272,183,1.0,1
1272,187,1.0,1
1272,191,1.0,1
1272,820,1.0,1
1272,852,1.0,1
1272,861,1.0,1
1272,887,1.0,1
1272,959,1.0,1
1272,1038,1.0,1
1272,1192,1.0,1
1272,1201,1.0,1
1272,1262,1.0,1
1272,2192,1.0,1
1272,2208,1.0,1
1272,2212,1.0,1
1272,2228,1.0,1
1272,2241,1.0,1
1272,2289,1.0,1
1272,2297,1.0,1
1272,2308,1.0,1
1272,2313,1.0,1
1272,2315,1.0,1
1272,2348,1.0,1
1272,2353,1.0,1
1272,2467,1.0,1
1272,2469,1.0,1
1273,2341,1.0,1
1279,2496,1.0,1
1335,211,1.0,1
2146,2185,1.0,1
2154,2784,1.0,1
2156,2224,1.0,1
2156,2445,1.0,1
2185,2146,1.0,1
2190,155,1.0,1
2192,96,1.0,1
2192,136,1.0,1
2192,169,1.0,1
2192,183,1.0,1
2192,187,1.0,1
2192,191,1.0,1
2192,820,1.0,1
2192,852,1.0,1
2192,861,1.0,1
2192,887,1.0,1
2192,959,1.0,1
2192,1038,1.0,1
2192,1192,1.0,1
2192,1201,1.0,1
2192,1272,1.0,1
2192,2208,1.0,1
2192,2212,1.0,1
2192,2228,1.0,1
2192,2241,1.0,1
2192,2289,1.0,1
2192,2297,1.0,1
2192,2308,1.0,1
2192,2313,1.0,1
2192,2315,1.0,1
2192,2348,1.0,1
2192,2353,1.0,1
2192,2467,1.0,1
2192,2469,1.0,1
2207,2355,1.0,1
2207,2382,1.0,1
2208,96,1.0,1
2208,136,1.0,1
2208,169,1.0,1
2208,183,1.0,1
2208,187,1.0,1
2208,191,1.0,1
2208,820,1.0,1
2208,852,1.0,1
2208,861,1.0,1
2208,887,1.0,1
2208,959,1.0,1
2208,1038,1.0,1
2208,1192,1.0,1
2208,1201,1.0,1
2208,1272,1.0,1
2208,2192,1.0,1
2208,2212,1.0,1
2208,2228,1.0,1
2208,2241,1.0,1
2208,2289,1.0,1
2208,2297,1.0,1
2208,2308,1.0,1
2208,2313,1.0,1
2208,2315,1.0,1
2208,2348,1.0,1
2208,2353,1.0,1
2208,2467,1.0,1
2208,2469,1.0,1
2212,96,1.0,1
2212,136,1.0,1
2212,169,1.0,1
2212,183,1.0,1
2212,187,1.0,1
2212,191,1.0,1
2212,820,1.0,1
2212,852,1.0,1
2212,861,1.0,1
2212,887,1.0,1
2212,959,1.0,1
2212,1038,1.0,1
2212,1192,1.0,1
2212,1201,1.0,1
2212,1272,1.0,1
2212,2192,1.0,1
2212,2208,1.0,1
2212,2228,1.0,1
2212,2241,1.0,1
2212,2289,1.0,1
2212,2297,1.0,1
2212,2308,1.0,1
2212,2313,1.0,1
2212,2315,1.0,1
2212,2348,1.0,1
2212,2353,1.0,1
2212,2467,1.0,1
2212,2469,1.0,1
2213,2419,1.0,1
2224,2156,1.0,1
2224,2445,1.0,1
2228,96,1.0,1
2228,136,1.0,1
2228,169,1.0,1
2228,183,1.0,1
2228,187,1.0,1
2228,191,1.0,1
2228,820,1.0,1
2228,852,1.0,1
2228,861,1.0,1
2228,887,1.0,1
2228,959,1.0,1
2228,1038,1.0,1
2228,1192,1.0,1
2228,1201,1.0,1
2228,1272,1.0,1
2228,2192,1.0,1
2228,2208,1.0,1
2228,2212,1.0,1
2228,2241,1.0,1
