src_stkcd,year,guar_event_cnt,guar_amt_sum,guar_amt_mean,guar_listed_target_cnt,guar_nonlisted_target_cnt,guar_listed_target_ratio
002339,2021,29,19440.0,670.3448275862069,0,29,0.0
002339,2022,21,18410.48965,876.6899833333333,0,21,0.0
002339,2023,20,23972.51035,1198.6255175000001,0,20,0.0
002339,2024,15,36000.0,2400.0,0,15,0.0
002340,2010,1,9000.0,9000.0,0,1,0.0
002340,2011,2,12900.0,6450.0,0,2,0.0
002340,2012,2,0.0,0.0,0,2,0.0
002340,2013,10,6100.0,1016.6666666666666,0,10,0.0
002340,2014,18,82060.0,7460.0,0,18,0.0
002340,2015,39,199890.0,6663.0,0,39,0.0
002340,2016,38,210150.0,6368.181818181818,0,38,0.0
002340,2017,33,309457.808306,12378.31233224,0,33,0.0
002340,2018,64,468239.191694,14189.066414969697,0,64,0.0
002340,2019,96,1246362.059359,13401.742573752688,0,96,0.0
002340,2020,68,1761994.0,26696.878787878788,0,68,0.0
002340,2021,61,2011652.32,32977.9068852459,0,61,0.0
002340,2022,73,987512.0,13527.561643835616,0,73,0.0
002340,2023,90,1100783.8,12230.931111111111,0,90,0.0
002340,2024,86,1135395.17,13357.590235294118,0,86,0.0
002341,2013,1,500.0,500.0,0,1,0.0
002341,2014,7,32255.0,10751.666666666666,0,7,0.0
002341,2015,4,10000.0,5000.0,0,4,0.0
002341,2016,10,35400.0,11800.0,0,10,0.0
002341,2017,23,36677.8,5239.685714285714,0,23,0.0
002341,2018,50,98300.0,5461.111111111111,0,50,0.0
002341,2019,42,125218.33,4637.715925925926,0,42,0.0
002341,2020,34,106965.94,4650.693043478261,0,34,0.0
002341,2021,34,99642.34,3985.6936,0,34,0.0
002341,2022,20,87486.53,4374.3265,0,20,0.0
002341,2023,20,124070.24,6203.512000000001,0,20,0.0
002341,2024,18,75514.75,4195.263888888889,0,18,0.0
002343,2010,5,1620.0,1620.0,0,5,0.0
002343,2011,2,0.0,0.0,0,2,0.0
002343,2012,5,2150.0,2150.0,0,5,0.0
002343,2013,27,4650.0,332.14285714285717,0,27,0.0
002343,2014,19,13019.04,723.2800000000001,0,19,0.0
002343,2015,46,74292.7,1727.7372093023255,0,46,0.0
002343,2016,30,223888.75,7720.301724137931,0,30,0.0
002343,2017,22,154964.2,7748.210000000001,0,22,0.0
002343,2018,16,177200.0,11075.0,0,16,0.0
002343,2019,16,141963.24,8872.7025,0,16,0.0
002343,2020,25,95405.0,4148.04347826087,0,25,0.0
002343,2021,8,40400.0,5771.428571428572,0,8,0.0
002343,2022,1,0.0,0.0,0,1,0.0
002344,2010,2,700.0,350.0,0,2,0.0
002344,2011,1,3000.0,3000.0,0,1,0.0
002344,2012,2,380.0,190.0,0,2,0.0
002344,2013,2,380.0,190.0,0,2,0.0
002344,2014,3,380.0,190.0,0,3,0.0
002344,2015,3,20.0,20.0,0,3,0.0
002344,2016,6,85264.25,14210.708333333334,0,6,0.0
002344,2017,4,20875.46,6958.486666666667,0,4,0.0
002344,2018,2,3452.7,1726.35,0,2,0.0
002344,2019,2,3194.99,1597.495,0,2,0.0
002344,2020,3,3188.14,1594.07,0,3,0.0
002344,2021,3,0.0,0.0,0,3,0.0
002344,2022,1,0.0,0.0,0,1,0.0
002344,2023,3,390.1,130.03333333333333,0,3,0.0
002344,2024,2,2055.61,1027.805,0,2,0.0
002345,2011,1,0.0,0.0,0,1,0.0
002345,2012,5,0.0,0.0,0,5,0.0
002345,2013,3,20381.75,10190.875,0,3,0.0
002345,2015,3,101765.14,50882.57,0,3,0.0
002345,2016,4,5661.99,1415.4975,0,4,0.0
002345,2017,1,0.0,0.0,0,1,0.0
002345,2018,4,20070.9,5017.725,0,4,0.0
002345,2019,10,122486.34,13609.593333333332,0,10,0.0
002345,2020,7,37930.96,6321.826666666667,0,7,0.0
002345,2021,8,57116.15,8159.45,0,8,0.0
002345,2022,13,125509.22,9654.555384615385,0,13,0.0
002345,2023,5,35281.75,7056.35,0,5,0.0
002346,2015,1,14000.0,14000.0,0,1,0.0
002346,2016,2,0.0,0.0,0,2,0.0
002346,2018,1,622.67,622.67,0,1,0.0
002346,2019,2,5569.82,5569.82,0,2,0.0
002346,2020,5,3577.8799999999997,894.4699999999999,0,5,0.0
002346,2023,4,8035.83,2008.9575,0,4,0.0
002346,2024,5,12924.14,2584.828,0,5,0.0
002347,2012,1,0.0,0.0,0,1,0.0
002347,2013,1,0.0,0.0,0,1,0.0
002347,2018,1,700.0,700.0,0,1,0.0
002347,2019,1,600.0,600.0,0,1,0.0
002349,2013,1,300.0,300.0,0,1,0.0
002349,2017,1,48000.0,48000.0,0,1,0.0
002349,2018,1,24000.0,24000.0,0,1,0.0
002349,2019,2,25200.0,12600.0,0,2,0.0
002349,2020,1,30000.0,30000.0,0,1,0.0
002349,2021,1,22000.0,22000.0,0,1,0.0
002349,2022,1,12000.0,12000.0,0,1,0.0
002349,2023,1,0.0,0.0,0,1,0.0
002350,2010,3,2000.0,666.6666666666666,0,3,0.0
002350,2011,4,3500.0,875.0,0,4,0.0
002350,2012,1,800.0,800.0,0,1,0.0
002350,2013,2,1000.0,1000.0,0,2,0.0
002350,2014,4,3800.0,1900.0,0,4,0.0
002350,2015,3,2000.0,2000.0,0,3,0.0
002350,2016,6,3600.0,900.0,0,6,0.0
002350,2017,5,13300.0,2660.0,0,5,0.0
002350,2018,6,60.0,20.0,0,6,0.0
002350,2019,9,38060.0,7612.0,0,9,0.0
002350,2020,16,19060.0,3176.6666666666665,0,16,0.0
002350,2021,18,19860.0,2837.1428571428573,0,18,0.0
002350,2022,10,7860.0,1965.0,0,10,0.0
002350,2023,30,14860.0,1238.3333333333333,0,30,0.0
002350,2024,12,13980.0,1165.0,0,12,0.0
002352,2012,6,180470.9,30078.483333333334,0,6,0.0
002352,2013,46,154804.31,3365.3110869565216,0,46,0.0
002352,2014,81,405681.28,5008.410864197531,0,81,0.0
002352,2015,240,367199.45,1529.9977083333333,0,240,0.0
002352,2016,588,512343.28,1074.094926624738,0,588,0.0
002352,2017,296,165854.78,614.276962962963,0,296,0.0
002352,2018,648,5987627.66,14222.393491686462,0,648,0.0
002352,2019,925,1719570.05,2939.435982905983,0,925,0.0
002352,2020,1413,6743500.27,7098.421336842105,0,1413,0.0
002352,2021,1354,10328170.8,13378.459585492228,0,1354,0.0
002352,2022,16,6021234.0,376327.125,0,16,0.0
002352,2023,3,2787505.6,929168.5333333333,0,3,0.0
002352,2024,2,32342577.0,16171288.5,0,2,0.0
002353,2010,3,0.0,0.0,0,3,0.0
002353,2011,12,32570.0,3257.0,0,12,0.0
002353,2012,5,2409.0,1204.5,0,5,0.0
002353,2013,5,126310.0,31577.5,0,5,0.0
002353,2014,21,249155.41,11864.543333333333,0,21,0.0
002353,2015,5,63860.0,12772.0,0,5,0.0
002353,2016,9,54854.15,7836.307142857143,0,9,0.0
002353,2017,39,37857.47,996.2492105263158,2,37,0.05128205128205128
002353,2018,102,66031.9,660.319,3,99,0.029411764705882353
