src_stkcd,dst_stkcd,dst_name,event_date,EndDate,ActualGuaranteeAmount,GuaranteeTypeID,CurrencyCode,is_listed_target,year
002422,301301,伊犁川宁生物技术股份有限公司,2020-09-08,2023-12-30,5437.5,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-08-17,2025-07-30,4687.5,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-08-03,2024-06-30,375.0,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2021-10-22,2022-10-20,10000.0,P7912,CNY,True,2021
002422,301301,伊犁川宁生物技术股份有限公司,2021-03-31,2022-03-28,5000.0,P7912,CNY,True,2021
002422,301301,伊犁川宁生物技术股份有限公司,2020-09-08,2022-12-30,5437.5,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2021-10-22,2022-10-20,9000.0,P7912,CNY,True,2021
002422,301301,伊犁川宁生物技术股份有限公司,2020-09-10,2025-03-30,2100.0,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-08-03,2024-12-30,5625.0,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-08-17,2022-06-30,687.5,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-09-08,2024-12-30,5437.5,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2021-12-21,2023-12-20,22000.0,P7912,CNY,True,2021
002422,301301,伊犁川宁生物技术股份有限公司,2022-04-11,,4000.0,P7912,CNY,True,2022
002422,301301,伊犁川宁生物技术股份有限公司,2020-09-21,2023-06-30,212.5,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-09-09,2024-12-30,1875.0,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-09-09,2024-06-30,125.0,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-08-03,2024-06-30,609.375,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2021-10-13,2022-10-12,5000.0,P7912,CNY,True,2021
002422,301301,伊犁川宁生物技术股份有限公司,2021-04-01,2022-03-28,5000.0,P7912,CNY,True,2021
002422,301301,伊犁川宁生物技术股份有限公司,2020-08-17,2023-06-30,312.5,P7910,CNY,True,2020
002422,301301,伊犁川宁生物技术股份有限公司,2020-07-31,2023-12-30,1875.0,P7910,CNY,True,2020
